S.No,English,Hindi
928,[ 75 ] [ 79 ] [ 81 ],मुख्य लेख:  भारत का भूगोल
929,,
930,History,कर राजस्व
931,Main articles:  History of India  and  History of the Republic of India,भारतीय नौसेना के विमानवाहक पोत - विराट एवं विक्रमादित्य
932,Ancient India,राजनीति एवं सरकार
933,"Manuscript illustration,  c.",भू-आकृतिक विशेषतायें
934,"1650 , of the Sanskrit epic  Ramayana , composed in story-telling fashion  c.","गोंड  - गोंड भारत की  जनजाति है , मध्यप्रदेश और छत्तीसगढ़ में इनका शासन था ।"
935,400  BCE  – c.,अल्पभार लोग
936,300  CE [ 82 ],आर्थिक मुक्ति
937,"By 55,000 years ago, the first modern humans, or  Homo sapiens , had arrived on the Indian subcontinent from Africa.","नागा   - नागा जनजाति मुख्यरूप से नागालैंड में पाई जाती है , देश में नागा रेजिमेंट है।"
938,"[ 28 ] [ 29 ] [ 30 ]  The earliest known modern human remains in South Asia date to about 30,000 years ago.","भूमिज   - भारत की सबसे प्राचीन जनजाति; पश्चिम बंगाल, झारखण्ड, उड़ीसा और असम में पाई जाती है।"
939,"[ 28 ]  After 6500  BCE , evidence for domestication of food crops and animals, construction of permanent structures, and storage of agricultural surplus appeared in  Mehrgarh  and other sites in  Balochistan, Pakistan .",भारत पूरी तौर पर  भारतीय प्लेट  के ऊपर स्थित है जो भारतीय आस्ट्रेलियाई प्लेट ( Indo-Australian Plate ) का उपखण्ड है। प्राचीन काल में यह प्लेट गोंडवानालैण्ड का हिस्सा थी और  अफ्रीका  और  अंटार्कटिका  के साथ जुड़ी हुई थी। तकरीबन ९ करोड़ वर्ष पहले क्रीटेशियस काल में भारतीय प्लेट १५ सेमी.
940,"[ 83 ]  These gradually developed into the  Indus Valley Civilisation , [ 84 ] [ 83 ]  the first urban culture in South Asia, [ 85 ]  which flourished during 2500–1900  BCE  in Pakistan and western India.","विभिन्न धर्मों के इस भूभाग पर कई मनभावन पर्व त्यौहार मनाए जाते हैं -  दिवाली ,  होली ,  दशहरा ,  पोंगल  तथा  ओणम ,  ईद उल-फ़ित्र ,  ईद-उल-जुहा ,  मुहर्रम , क्रिसमस, ईस्टर आदि भी बहुत लोकप्रिय हैं।"
941,"[ 86 ]  Centred around cities such as  Mohenjo-daro ,  Harappa ,  Dholavira , and  Kalibangan , and relying on varied forms of subsistence, the civilisation engaged robustly in crafts production and wide-ranging trade.","लगभग 13 लाख सक्रिय सैनिकों के साथ,  भारतीय सेना  दुनिया में तीसरी सबसे बड़ी है। भारत की सशस्त्र सेना में एक  थलसेना ,  नौसेना ,  वायु सेना  और  अर्द्धसैनिक बल ,  तटरक्षक , जैसे सामरिक और सहायक बल विद्यमान हैं। भारत के राष्ट्रपति भारतीय सशस्त्र बलों के सर्वोच्च कमांडर है।"
942,[ 85 ],दिल्ली
943,"During the period 2000–500  BCE , many regions of the subcontinent transitioned from the  Chalcolithic  cultures to the  Iron Age  ones.","उर्दू  इन ज़िलों में दूसरी आधिकारिक भाषा है:  हैदराबाद , रंगा रेड्डी, मेडक,  निज़ामाबाद ,  महबूबनगर , अदीलाबाद और  वारंगल   [ 122 ]"
944,"[ 87 ]  The  Vedas , the oldest scriptures associated with  Hinduism , [ 88 ]  were composed during this period, [ 89 ]  and historians have analysed these to posit a  Vedic culture  in the  Punjab region  and the upper  Gangetic Plain .","नवगठित जनता दल के नेतृत्व वाले राष्ट्रीय मोर्चा ने वाम मोर्चा के बाहरी समर्थन से सरकार बनाई, जो केवल दो साल चली। १९९१ के चुनावों में किसी पार्टी को बहुमत नहीं मिला, परंतु कॉंग्रेस सबसे बडी पार्टी बनी, और पी वी नरसिंहा राव के नेतृत्व में अल्पमत सरकार बनी जो अपना कार्यकाल पूरा करने में सफल रही।"
945,[ 87 ]  Most historians also consider this period to have encompassed several waves of  Indo-Aryan migration  into the subcontinent from the north-west.,"११ अन्य भाषाओं को आधिकारिक भाषा का दर्ज़ा प्राप्त है, लेकिन सिर्फ़ संस्कृति और परंपरा के संरक्षण के नज़रिये से  [ 141 ]"
946,"[ 88 ]  The  caste system , which created a hierarchy of priests, warriors, and free peasants, but which excluded indigenous peoples by labelling their occupations impure, arose during this period.",भारतीय खानपान बहुत ही समृद्ध है। शाकाहारी तथा मांसाहारी दोनों ही तरह का खाना पसन्द किया जाता है। भारतीय व्यंजन विदेशों में भी बहुत पसन्द किए जाते हैं।
947,"[ 90 ]  On the  Deccan Plateau , archaeological evidence from this period suggests the existence of a chiefdom stage of political organisation.",गुम्पा नृत्य एक  तिब्बती बौद्ध  समाज का  सिक्किम  में छिपा नृत्य है। यह बौद्ध नव वर्ष पर किया जाता है।
948,"[ 87 ]  In  South India , a progression to sedentary life is indicated by the large number of  megalithic  monuments dating from this period, [ 91 ]  as well as by nearby traces of  agriculture ,  irrigation tanks , and craft traditions.","भारत में कई सारे पर्व मनाए जाते हैं, जिसमें 26 जनवरी को  गणतंत्र दिवस , 15 अगस्त को  स्वतंत्रता दिवस , 2 अक्टूबर को  गांधी जयंती ,  दिवाली ,  होली ,  नवरात्रि ,  रामनवमी ,  दशहरा  और  ईद  पूरे देश में मनाई जाती है। इसके अलावा अन्य पर्व राज्यों के अनुसार होते हैं।"
949,[ 91 ],कर्नाटक
950,,
951,Cave 26 of the rock-cut  Ajanta Caves,उष्ण कटिबंधीय नम  – ( Am );
952,"In the late Vedic period, around the 6th century BCE, the small states and chiefdoms of the Ganges Plain and the north-western regions had consolidated into 16 major oligarchies and monarchies that were known as the  mahajanapadas .",↑   https://www.aajtak.in/education/news/story/is-hindi-our-national-language-what-does-indian-constitution-say-about-language-kiccha-sudeep-ajay-devgan-lbse-1454163-2022-04-28
953,"[ 92 ] [ 93 ]  The emerging urbanisation gave rise to non-Vedic religious movements, two of which became independent religions.","उर्दू  (कुछ क्षेत्रों और कामों के लिये) [ 135 ] ,  अंगिका ,  भोजपुरी ,  बज्जिका , और  मैथिली"
954,"Jainism  came into prominence during the life of its exemplar,  Mahavira .","मणिपुरी (मेइतेई, या मेइतेईलॉन भी कहा जाता है) [ 136 ]"
955,"[ 94 ]   Buddhism , based on the teachings of  Gautama Buddha , attracted followers from all social classes excepting the middle class; chronicling the life of the Buddha was central to the beginnings of recorded history in India.","(2018),  An Environmental History of India: From Earliest Times to the Twenty-First Century ,  कैम्ब्रिज यूनिवर्सिटी प्रेस , पृ॰ 59,  आई॰ऍस॰बी॰ऍन॰   978-1-107-11162-2"
956,"[ 95 ] [ 96 ] [ 97 ]  In an age of increasing urban wealth, both religions held up  renunciation  as an ideal, [ 98 ]  and both established long-lasting monastic traditions.","भारतीय समाज बहुधर्मिक, बहुभाषी तथा मिश्र-सांस्कृतिक है। पारंपरिक भारतीय पारिवारिक मूल्यों को बहुत आदर की दृष्टि से देखा जाता है।"
957,"Politically, by the 3rd century BCE, the kingdom of  Magadha  had annexed or reduced other states to emerge as the  Maurya Empire .","↑   ""Constitutional Provisions – Official Language Related Part-17 Of The Constitution Of India"" ."
958,"[ 99 ]  The empire was once thought to have controlled most of the subcontinent except the far south, but its core regions are now thought to have been separated by large autonomous areas.","↑   (a)  Dyson, Tim (2018),  A Population History of India: From the First Modern People to the Present Day ,  ऑक्सफोर्ड यूनिवर्सिटी प्रेस , पपृ॰ 16–17,  आई॰ऍस॰बी॰ऍन॰   978-0-19-882905-8 ; (b)  Fisher, Michael H."
959,[ 100 ] [ 101 ]  The Mauryan kings are known as much for their empire-building and determined management of public life as for  Ashoka 's renunciation of militarism and far-flung advocacy of the Buddhist  dhamma .,"(a)  Ludden, David (2013),  India and South Asia: A Short History ,  वनवर्ल्ड पब्लिकेशन्स , पपृ॰ 28–29,  आई॰ऍस॰बी॰ऍन॰   978-1-78074-108-6 ; (b)  Glenn Van Brummelen (2014),  ""Arithmetic"" ,  प्रकाशित  Thomas F."
960,[ 102 ] [ 103 ],अर्थव्यवस्था (GDP)
961,"The  Sangam literature  of the  Tamil language  reveals that, between 200  BCE  and 200  CE , the southern peninsula was ruled by the  Cheras , the  Cholas , and the  Pandyas , dynasties that  traded extensively with the Roman Empire  and with  West  and  Southeast Asia .","भारत के उत्तर में हिमालय की पर्वतमाला नए और  मोड़दार पहाड़ों  से बनी है। यह पर्वतश्रेणी कश्मीर से अरुणाचल तक लगभग १,५०० मील तक फैली हुई है। इसकी चौड़ाई १५० से २०० मील तक है। यह संसार की सबसे ऊँची पर्वतमाला है और इसमें अनेक चोटियाँ २४,००० फुट से अधिक ऊँची हैं। हिमालय की सबसे ऊँची चोटी माउंट एवरेस्ट है जिसकी ऊँचाई २९,०२८ फुट है जो नेपाल में स्थित है।"
962,"[ 104 ] [ 105 ]  In North India, Hinduism asserted patriarchal control within the family, leading to increased subordination of women.","↑   ""Report of the Commissioner for linguistic minorities: 50th report (July 2012 to June 2013)""   (PDF) ."
963,"[ 106 ] [ 99 ]  By the 4th and 5th centuries, the  Gupta Empire  had created a complex system of administration and taxation in the greater Ganges Plain; this system became a model for later Indian kingdoms.","Glick; Steven Livesey; Faith Wallis (संपा॰),  Medieval Science, Technology, and Medicine: An Encyclopedia , रूटलेज, पपृ॰ 46–48,  आई॰ऍस॰बी॰ऍन॰   978-1-135-45932-1"
964,"[ 107 ] [ 108 ]  Under the Guptas, a renewed Hinduism based on devotion, rather than the management of ritual, began to assert itself.","(2018),  An Environmental History of India: From Earliest Times to the Twenty-First Century , Cambridge University Press, पृ॰ 76,  आई॰ऍस॰बी॰ऍन॰   978-1-107-11162-2"
965,"[ 109 ]  This renewal was reflected in a flowering of  sculpture  and  architecture , which found patrons among an urban elite.","Commissioner for Linguistic Minorities, Ministry of Minority Affairs, Government of India."
966,"[ 108 ]   Classical Sanskrit literature  flowered as well, and  Indian science ,  astronomy ,  medicine , and  mathematics  made significant advances.","Asher, Catherine B.; Talbot, Cynthia (2006),  India Before Europe , Cambridge University Press, पृ॰ 74,  आई॰ऍस॰बी॰ऍन॰   978-0-521-80904-7 """
967,[ 108 ],निर्धनता
968,,
969,Medieval India,उच्चतम बिन्दु
970,Main article:  Medieval India,आर्द्र उपोष्ण – ( Cwa );
971,"Brihadeshwara temple ,  Thanjavur , completed in 1010  CE The  Qutub Minar , 73 m (240 ft) tall, completed by the  Sultan of Delhi ,  Iltutmish","Asher, Catherine B.; Talbot, Cynthia (2006),  India Before Europe , Cambridge University Press, पृ॰ 267,  आई॰ऍस॰बी॰ऍन॰   978-0-521-80904-7"
972,"The Indian early medieval age, from 600 to 1200  CE , is defined by regional kingdoms and cultural diversity.","↑   ""Ethnologue : Languages of the World (Seventeenth edition) : Statistical Summaries"" ."
973,"[ 110 ]  When  Harsha  of  Kannauj , who ruled much of the Indo-Gangetic Plain from 606 to 647  CE , attempted to expand southwards, he was defeated by the  Chalukya  ruler of the Deccan.","(a)  Asher, Catherine B.; Talbot, Cynthia (2006),  India Before Europe , Cambridge University Press, पृ॰ 289,  आई॰ऍस॰बी॰ऍन॰   978-0-521-80904-7 ; (b)  Fisher, Michael H."
974,"[ 111 ]  When his successor attempted to expand eastwards, he was defeated by the  Pala  king of  Bengal .","↑  अ   आ   इ   ई   ""World Economic Outlook Database,April edition .(India)"" ."
975,"[ 111 ]  When the Chalukyas attempted to expand southwards, they were defeated by the  Pallavas  from farther south, who in turn were opposed by the  Pandyas  and the  Cholas  from still farther south.","(2018),  An Environmental History of India: From Earliest Times to the Twenty-First Century , Cambridge University Press, पृ॰ 120,  आई॰ऍस॰बी॰ऍन॰   978-1-107-11162-2"
976,[ 111 ]  No ruler of this period was able to create an empire and consistently control lands much beyond their core region.,"(2001),  The Cambridge Illustrated History of the British Empire , Cambridge University Press, पपृ॰ 179–181,  आई॰ऍस॰बी॰ऍन॰   978-0-521-00254-7"
977,"[ 110 ]  During this time, pastoral peoples, whose land had been cleared to make way for the growing agricultural economy, were accommodated within caste society, as were new non-traditional ruling classes.","Dyson, Tim (2018),  A Population History of India: From the First Modern People to the Present Day , ऑक्सफोर्ड यूनिवर्सिटी प्रेस, पपृ॰ 219, 262,  आई॰ऍस॰बी॰ऍन॰   978-0-19-882905-8"
978,[ 112 ]  The caste system consequently began to show regional differences.,अंग्रेज़ी [ 138 ] खासी  भाषा और  गारो  भाषा [ 139 ]
979,[ 112 ],बाल पोषण
980,"In the 6th and 7th centuries, the first  devotional hymns  were created in the Tamil language.","ताजमहल , विश्व के सबसे प्रसिद्ध  पर्यटक स्थलों  में गिना जाता है।"
981,[ 113 ]  They were imitated all over India and led to both the resurgence of Hinduism and the development of all  modern languages of the subcontinent .,"(2012),  A Concise History of Modern India , Cambridge University Press, पपृ॰ 265–266,  आई॰ऍस॰बी॰ऍन॰   978-1-107-02649-0"
982,"[ 113 ]  Indian royalty, big and small, and the temples they patronised drew citizens in great numbers to the capital cities, which became economic hubs as well.","(2012),  A Concise History of Modern India , Cambridge University Press, पृ॰ 266,  आई॰ऍस॰बी॰ऍन॰   978-1-107-02649-0"
983,[ 114 ]  Temple towns of various sizes began to appear everywhere as India underwent another urbanisation.,has been the subject of dispute between India and Pakistan since the partition of the Indian subcontinent in 1947.
984,"[ 114 ]  By the 8th and 9th centuries, the effects were felt in Southeast Asia, as South Indian culture and political systems were exported to lands that became part of modern-day  Myanmar ,  Thailand ,  Laos ,  Brunei ,  Cambodia ,  Vietnam ,  Philippines ,  Malaysia , and  Indonesia .","भारत के निर्यातों में कृषि उत्पाद,  चाय , कपड़ा,  बहुमूल्य रत्न  व आभूषण,  साफ़्टवेयर सेवायें , इंजीनियरिंग सामान, रसायन तथा चमड़ा उत्पाद प्रमुख हैं जबकि उसके आयातों में कच्चा तेल, मशीनरी, बहुमूल्य रत्न,  उर्वरक  (फ़र्टिलाइज़र) तथा रसायन प्रमुख हैं। वर्ष २००४ के लिये भारत के कुल निर्यात $६९१८ करोड़  डालर  के थे जबकि उसके आयात $८९३३ करोड़  डालर  के थे।"
985,"[ 115 ]  Indian merchants, scholars, and sometimes armies were involved in this transmission; Southeast Asians took the initiative as well, with many sojourning in Indian seminaries and translating Buddhist and Hindu texts into their languages.","(a)  Ludden, David (2013),  India and South Asia: A Short History , Oneworld Publications, पृ॰ 54,  आई॰ऍस॰बी॰ऍन॰   978-1-78074-108-6 ; (b)  Asher, Catherine B.; Talbot, Cynthia (2006),  India Before Europe , Cambridge University Press, पपृ॰ 78–79,  आई॰ऍस॰बी॰ऍन॰   978-0-521-80904-7 ; (c)  Fisher, Michael H."
986,[ 115 ],दे वा सं
987,"After the 10th century, Muslim Central Asian nomadic clans, using  swift-horse  cavalry and raising vast armies united by ethnicity and religion, repeatedly overran South Asia's north-western plains, leading eventually to the establishment of the Islamic  Delhi Sultanate  in 1206.","दिसम्‍बर 2013 के अंत में भारत का कुल विदेशी कर्ज 426.0 अरब अमरीकी डॉलर था, जिसमें कि दीर्घकालिक कर्ज 333.3 अरब (78,2%) तथा अल्‍पकालिक कर्ज 92,7% अरब अमरीकी डॉलर (21,8%) था। कुल विदेशी कर्ज में सरकार का विदेशी कर्ज 76.4 अरब अमरीकी डॉलर (कुल विदेशी कर्ज का 17.9 प्रतिशत) था, बाकी में व्‍यावसायिक उधार, एनआरआई जमा और बहुउद्देश्‍यीय कर्ज आदि हैं। [ 111 ]"
988,[ 116 ]  The sultanate was to control much of North India and to make many forays into South India.,"↑   लेविस, एम पॉल; सिमन्स, गेरी एफ॰; फेन्निग, चार्ल्स डी॰, संपा॰ (2014)."
989,"Although at first disruptive for the Indian elites, the sultanate largely left its vast non-Muslim subject population to its own laws and customs.","Dyson, Tim (2018),  A Population History of India: From the First Modern People to the Present Day , ऑक्सफोर्ड यूनिवर्सिटी प्रेस, पृ॰ 216,  आई॰ऍस॰बी॰ऍन॰   978-0-19-882905-8"
990,"[ 117 ] [ 118 ]  By repeatedly repulsing  Mongol raiders  in the 13th century, the sultanate saved India from the devastation visited on West and Central Asia, setting the scene for centuries of  migration  of fleeing soldiers, learned men, mystics, traders, artists, and artisans from that region into the subcontinent, thereby creating a syncretic Indo-Islamic culture in the north.",वर्ष की गति से उत्तर की ओर बढ़ने लगी और इओसीन पीरियड में यूरेशियन प्लेट से टकराई। भारतीय प्लेट और यूरेशियन प्लेट के मध्य स्थित   टेथीस  भूसन्नति के अवसादों के वालन द्वारा ऊपर उठने से तिब्बत पठार और  हिमालय  पर्वत का निर्माण हुआ। सामने की द्रोणी में बाद में अवसाद जमा हो जाने से सिन्धु-गंगा मैदान बना। भारतीय प्लेट अभी भी लगभग ५ सेमी./वर्ष की गति से उत्तर की ओर गतिशील है और हिमालय की ऊँचाई में अभी भी २ मिमी./वर्ष कि गति से उत्थान हो रहा है।
991,[ 119 ] [ 120 ]  The sultanate's raiding and weakening of the regional kingdoms of South India paved the way for the indigenous  Vijayanagara Empire .,constitutes nearly all the territory of the Chinese-administered sector of Kashmir that is claimed by India ;   (c)  C.
992,"[ 121 ]  Embracing a strong  Shaivite  tradition and building upon the military technology of the sultanate, the empire came to control much of peninsular India, [ 122 ]  and was to influence South Indian society for long afterwards.","(a)  Ludden, David (2013),  India and South Asia: A Short History , Oneworld Publications, पपृ॰ 68–70,  आई॰ऍस॰बी॰ऍन॰   978-1-78074-108-6 ; (b)  Asher, Catherine B.; Talbot, Cynthia (2006),  India Before Europe , Cambridge University Press, पपृ॰ 19, 24,  आई॰ऍस॰बी॰ऍन॰   978-0-521-80904-7"
993,[ 121 ],"2,920,067"
994,,
995,Early modern India,अल्पाइन  – ( ETh );
996,"In the early 16th century, northern India, then under mainly Muslim rulers, [ 123 ]  fell again to the superior mobility and firepower of a new generation of Central Asian warriors.","↑   (a)  ""Kashmir, region Indian subcontinent"" ,  Encyclopaedia Britannica , मूल से 13 अगस्त 2019 को  पुरालेखित , अभिगमन तिथि 15 अगस्त 2019 ,  Kashmir, region of the northwestern Indian subcontinent ..."
997,[ 124 ]  The resulting  Mughal Empire  did not stamp out the local societies it came to rule.,"↑   ""World Population Prospects - Population Division - United Nations"" ."
998,"Instead, it balanced and pacified them through new administrative practices [ 125 ] [ 126 ]  and diverse and inclusive ruling elites, [ 127 ]  leading to more systematic, centralised, and uniform rule.",";  (b)  Pletcher, Kenneth,  ""Aksai Chin, Plateau Region, Asia"" ,  Encyclopaedia Britannica , मूल से 2 अप्रैल 2019 को  पुरालेखित , अभिगमन तिथि 16 अगस्त 2019 ,  Aksai Chin, Chinese (Pinyin) Aksayqin, portion of the Kashmir region, ..."
999,"[ 128 ]  Eschewing tribal bonds and Islamic identity, especially under  Akbar , the Mughals united their far-flung realms through loyalty, expressed through a Persianised culture, to an emperor who had near-divine status.","(2006)। “Encyclopedia Americana: Jefferson to Latin”।  Encyclopedia Americana ।  Scholastic Library Publishing। “KASHMIR, kash'mer, the northernmost region of the Indian subcontinent, administered partly by India, partly by Pakistan, and partly by China."
1000,"[ 127 ]  The Mughal state's economic policies, deriving most revenues from agriculture [ 129 ]  and mandating that taxes be paid in the well-regulated silver currency, [ 130 ]  caused peasants and artisans to enter larger markets.","Jha, Raghbendra (2018),  Facets of India's Economy and Her Society Volume II: Current State and Future Prospects , Springer, पृ॰ 198,  आई॰ऍस॰बी॰ऍन॰   978-1-349-95342-4"
1001,"[ 128 ]  The relative peace maintained by the empire during much of the 17th century was a factor in India's economic expansion, [ 128 ]  resulting in greater patronage of  painting , literary forms, textiles, and  architecture .","Ullas; Gopal, Rajesh (2005),  ""An ecology-based policy framework for human-tiger coexistence in India"" ,  प्रकाशित  Rosie Woodroffe; Simon Thirgood; Alan Rabinowitz (संपा॰),  People and Wildlife, Conflict Or Co-existence?"
1002,"[ 131 ]  Newly coherent social groups in northern and western India, such as the  Marathas , the  Rajputs , and the  Sikhs , gained military and governing ambitions during Mughal rule, which, through collaboration or adversity, gave them both recognition and military experience.","भील  - भील देश की सबसे विस्तृत क्षेत्र में फैली हुई जनजाति है , यह जनजाति मुख्यरूप से राजस्थान , मध्यप्रदेश , गुजरात और महाराष्ट्र में निवास करती है , इस जनजाति का इतिहास बेहद ही गौरवशाली रहा है , यह जनजाति प्राचीन समय में एक कबीले में ना रह कर ,  देश के कई क्षेत्रों पर शासन किया । भील जनजाति देश में भील रेजिमेंट और भील प्रदेश चाहती है।"
1003,[ 132 ]  Expanding commerce during Mughal rule gave rise to new Indian commercial and political elites along the coasts of southern and eastern India.,The region has been the subject of a bitter dispute between India and Pakistan since they became independent in 1947”
1004,"[ 132 ]  As the empire disintegrated, many among these elites were able to seek and control their own affairs.","Mohan Bhagwat, Narendra Modi and the Sangh Parivar are using 'Hindustan' all wrong"" ."
1005,[ 133 ],बेंगलुरु
1006,,
1007,"A distant view of the  Taj Mahal  from the  Agra Fort A two  mohur  Company gold coin, issued in 1835, the  obverse  inscribed "" William IIII , King""","""The impact of air pollution on deaths, disease burden, and life expectancy across the states of India: the Global Burden of Disease Study 2017""."
1008,"By the early 18th century, with the lines between commercial and political dominance being increasingly blurred, a number of European trading companies, including the  English East India Company , had established coastal outposts.","यह वास्तव में निश्चित है कि 55,000 साल पहले उपमहाद्वीप में होमो सेपियन्स (आधुनिक मनुष्य)थे, भले ही सबसे पुराने जीवाश्म जो वर्तमान से लगभग 30,000 साल पहले के हो। (पृष्ठ 1)"""
1009,"[ 134 ] [ 135 ]  The East India Company's control of the seas, greater resources, and more advanced military training and technology led it to increasingly assert its military strength and caused it to become attractive to a portion of the Indian elite; these factors were crucial in allowing the company to gain control over the  Bengal  region by 1765 and sideline the other European companies.","6 और 7 वीं शताब्दी में, पहली भक्ति भजन तमिल भाषा में बनाया गया था। पूरे भारत में उनकी नकल की गई और हिंदू धर्म के पुनरुत्थान और इसने उपमहाद्वीप की सभी आधुनिक भाषाओं के विकास का नेतृत्व किया। राजघरानो ने लोगों को राजधानी  की आकर्षित किया। शहरीकरण के साथ शहरों में बड़े स्तर पर मंदिरों का निर्माण किया। [ 88 ]  दक्षिण भारत की राजनीतिक और सांस्कृतिक व्यवस्था का प्रभाव दक्षिण एशिया के देशों  म्यांमार ,  थाईलैंड ,  लाओस ,  कंबोडिया ,  वियतनाम ,  फिलीपींस ,  मलेशिया  और  जावा  में देखा जा सकता है। [ 89 ]"
1010,[ 136 ] [ 134 ] [ 137 ] [ 138 ]  Its further access to the riches of Bengal and the subsequent increased strength and size of its army enabled it to annex or subdue most of India by the 1820s.,"(2018),  भारत का एक पर्यावरणीय इतिहास: प्रारम्भ से २१ वीं शताब्दी तक , Cambridge University Press, पृ॰ 23,  आई॰ऍस॰बी॰ऍन॰   978-1-107-11162-2"
1011,"[ 139 ]  India was then no longer exporting manufactured goods as it long had, but was instead supplying the  British Empire  with raw materials.","दक्षिण एशिया में मानव का विकास और इतिहास: पुरातत्व, जैविक नृविज्ञान, भाषाविज्ञान और आनुवंशिकी में अंतर-अनुशासनात्मक अध्ययन ."
1012,Many historians consider this to be the onset of India's colonial period.,"↑   ""भारत का राष्ट्रीय गान: 'जन गण मन' पर एक संक्षिप्त जानकारी"" ."
1013,"[ 134 ]  By this time, with its economic power severely curtailed by the British parliament and having effectively been made an arm of British administration, the East India Company began more consciously to enter non-economic arenas, including education, social reform, and culture.","हिन्दी और अंग्रेज़ी के इलावा संविधान की आठवीं अनुसूची में २० अन्य भाषाओं का वर्णन है जिन्हें भारत में आधिकारिक कामकाज में इस्तेमाल किया जा सकता है। संविधान के अनुसार सरकार इन भाषाओं के विकास के लिये प्रयास करेगी, और अधिकृत राजभाषा (हिन्दी) को और अधिक समृद्ध बनाने के लिए इन भाषाओं का उपयोग करेगी। आठवीं अनुसूची में दर्ज़ २२ भाषाएँ यह हैं:"
1014,[ 140 ],हैदराबाद
1015,,
1016,Modern India,एचआइवी जागरुकता
1017,Main article:  History of India (1947–present),जम्मू और कश्मीर  ( श्रीनगर / जम्मू )
1018,Historians consider India's modern age to have begun sometime between 1848 and 1885.,"↑   ""Constituent Assembly of India – Volume XII(अंग्रेजी में)"" ."
1019,The appointment in 1848 of  Lord Dalhousie  as Governor General of the East India Company set the stage for changes essential to a modern state.,"↑   ""Cities having population 1 lakh and above""  [एक लाख या इससे अधिक जनसंख्या वाले नगर]  (PDF)  (अंग्रेज़ी में)."
1020,"These included the consolidation and demarcation of sovereignty, the surveillance of the population, and the education of citizens.","↑   India's negotiation positions at the WTO   (PDF) , नवम्बर 2005,  मूल   (PDF)  से 13 सितंबर 2011 को पुरालेखित , अभिगमन तिथि 23 अगस्त 2010"
1021,"Technological changes—among them, railways, canals, and the telegraph—were introduced not long after their introduction in  Europe .","| Goliath Business News , Goliath.ecnext.com, 29 जुलाई 2005, मूल से 9 अगस्त 2011 को  पुरालेखित , अभिगमन तिथि 21 नवम्बर 2009"
1022,"[ 141 ] [ 142 ] [ 143 ] [ 144 ]  However, disaffection with the company also grew during this time and set off the  Indian Rebellion of 1857 .","↑   ""The Non-Aligned Movement: Description and History"" ,  nam.gov.za , The Non-Aligned Movement, 21 सितंबर 2001,  मूल  से 21 अगस्त 2011 को पुरालेखित , अभिगमन तिथि 23 अगस्त 2007"
1023,"Fed by diverse resentments and perceptions, including invasive British-style social reforms, harsh land taxes, and summary treatment of some rich landowners and princes, the rebellion rocked many regions of northern and central India and shook the foundations of Company rule.","भारत की सांस्कृतिक धरोहर बहुत संपन्न है। यहाँ की संस्कृति अनोखी है और वर्षों से इसके कई अवयव अब तक अक्षुण्ण हैं। आक्रमणकारियों तथा प्रवासियों से विभिन्न चीजों को समेट कर यह एक मिश्रित संस्कृति बन गई है। आधुनिक भारत का समाज, भाषाएं, रीति-रिवाज इत्यादि इसका प्रमाण हैं।  ताजमहल  और अन्य उदाहरण,  इस्लाम  प्रभावित स्थापत्य कला के उत्कृष्ट नमूने हैं।"
1024,"[ 145 ] [ 146 ]  Although the rebellion was suppressed by 1858, it led to the dissolution of the East India Company and the  direct administration of India  by the British government.",↑   https://scholar.valpo.edu/cgi/viewcontent.cgi?referer=https://en.wikipedia.org/&httpsredir=1&article=1095&context=jvbl  वालपराइसो विश्वविद्यालय अनुसंधान
1025,"Proclaiming a  unitary state  and a gradual but limited British-style parliamentary system, the new rulers also protected princes and landed gentry as a feudal safeguard against future unrest.",↑   http://navbharattimes.indiatimes.com/business/business-news/paris-airshow-lockheed-martin-signs-pact-with-tata-to-make-f-16-planes-in-india/articleshow/59219961.cms   Archived  2017-06-23 at the  वेबैक मशीन  नवभारत टाईम्स १९ जून २०१७
1026,"[ 147 ] [ 148 ]  In the decades following, public life gradually emerged all over India, leading eventually to the founding of the  Indian National Congress  in 1885.","↑   ""दिसम्‍बर 2013 के अंत में भारत का विदेशी कर्ज 426.0 अरब अमरीकी डॉलर, मार्च 2013 के अंत के स्‍तर पर 21.1 अरब (5.2 प्रतिशत) की बढ़ोतरी"" ."
1027,[ 149 ] [ 150 ] [ 151 ] [ 152 ],शुष्क मरुस्थलीय – ( BWh ).
1028,"The rush of technology and the commercialisation of agriculture in the second half of the 19th century was marked by economic setbacks, and many small farmers became dependent on the whims of far-away markets.","↑   Gilbert, Martin (17 दिसम्बर 2002),  A History of the Twentieth Century: The Concise Edition of the Acclaimed World History , HarperCollins, पपृ॰ 486–487,  आई॰ऍस॰बी॰ऍन॰   9780060505943 , मूल से 12 दिसंबर 2011 को  पुरालेखित , अभिगमन तिथि 22 जुलाई 2011"
1029,"[ 153 ]  There was an increase in the number of large-scale  famines , [ 154 ]  and, despite the risks of infrastructure development borne by Indian taxpayers, little industrial employment was generated for Indians.",↑   http://hindi.economictimes.indiatimes.com/business/business-news/frances-dassault-to-bring-in-largest-defence-fdi-via-rafale-joint-venture-with-reliance-defence/articleshow/59063463.cms   Archived  2017-07-17 at the  वेबैक मशीन  नवभारत टाईम्स ९ जून २०१७
